X_CCDS_start	X_CCDS_end	gene	X_NM_identifier	X_ENST_ID	X_CCDS_ID	X_strand	X_total_CCDS_length	X_CCDS_exons	X_region	Strata	Y_sequence_classification
10377407	10403071	MID1	NM_033290	"ENST00000380787,ENST00000380785,ENST00000380780,ENST00000380779,ENST00000317552"	CCDS14138.1	-	2004	9	XAR	Stratum 4	pseudogene
11040101	11049851	HCCS	NM_005333	"ENST00000380763,ENST00000380762,ENST00000321143"	CCDS14139.1	+	807	6	XAR	Stratum 3	lostY
11066903	11592869	ARHGAP6	NM_013427	ENST00000337414	CCDS14140.1	-	2925	13	XAR	Stratum 3	pseudogene
11222829	11228653	AMELX	NM_182680	ENST00000380712	CCDS14145.1	+	618	6	XAR	Stratum 3	gene
11686303	11703119	MSL3	NM_078629	ENST00000312196	CCDS14147.1	+	1566	13	XAR	Stratum 3	lostY
12067011	12648573	FRMPD4	NM_014728	ENST00000380682	CCDS35201.1	+	3969	17	XAR	Stratum 3	pseudogene
12719537	12750836	PRPS2	NM_001039091	ENST00000398491	CCDS43918.1	+	966	7	XAR	Stratum 3	lostY
12795618	12816698	TLR7	NM_016562	ENST00000380659	CCDS14151.1	+	3150	2	XAR	Stratum 3	pseudogene
12834746	12850206	TLR8	NM_138636	ENST00000218032	CCDS14152.1	+	3126	2	XAR	Stratum 3	pseudogene
12904301	12904851	TMSB4X	NM_021109	"ENST00000380638,ENST00000380636,ENST00000380635,ENST00000380633"	CCDS35202.1	+	135	2	XAR	Stratum 3	gene
12966480	12971829	FAM9C	NM_174901	"ENST00000380625,ENST00000333995"	CCDS35203.1	-	1224	6	XAR	Stratum 3	notAnc_addX
13497901	13561135	EGFL6	NM_015507	ENST00000361306	CCDS14155.1	+	1662	12	XAR	Stratum 3	pseudogene
13636786	13637392	RAB9A	NM_004251	ENST00000243325	CCDS14156.1	+	606	1	XAR	Stratum 3	pseudogene
13663111	13697148	OFD1	NM_003611	ENST00000340096	CCDS14157.1	+	3039	23	XAR	Stratum 3	pseudogene
13700920	13744944	GPM6B	NM_001001995	ENST00000316715	CCDS35206.1	-	987	8	XAR	Stratum 3	pseudogene
13936952	13949518	GEMIN8	NM_017856	"ENST00000398350,ENST00000380526,ENST00000332885"	CCDS14159.1	-	729	3	XAR	Stratum 3	lostY
14458100	14658528	GLRA2	NM_002063	ENST00000218075	CCDS14160.1	+	1359	9	XAR	Stratum 3	pseudogene
14771609	14793553	FANCB	NM_152633	"ENST00000398334,ENST00000324138"	CCDS14161.1	-	2580	8	XAR	Stratum 3	pseudogene
14801571	14847852	MOSPD2	NM_152581	ENST00000380492	CCDS14162.1	+	1557	15	XAR	Stratum 3	lostY
15172548	15197917	ASB9	NM_001031739	ENST00000380488	CCDS35208.1	-	885	7	XAR	Stratum 3	lostY
15211547	15242529	ASB11	NM_001012428	ENST00000344384	CCDS35209.1	-	909	7	XAR	Stratum 3	pseudogene
15249548	15259973	PIGA	NM_002641	ENST00000333590	CCDS14165.1	-	1455	5	XAR	Stratum 3	lostY
15274175	15311989	FIGF	NM_004469	ENST00000297904	CCDS14166.1	-	1065	7	XAR	Stratum 3	lostY
15313046	15419301	PIR	NM_003662	"ENST00000380421,ENST00000380420"	CCDS14167.1	-	873	9	XAR	Stratum 3	lostY
15436397	15484191	BMX	NM_203281	"ENST00000357607,ENST00000348343,ENST00000342014"	CCDS14168.1	+	2028	18	XAR	Stratum 3	lostY
15489948	15528955	ACE2	NM_021804	ENST00000252519	CCDS14169.1	-	2418	18	XAR	Stratum 3	pseudogene
15556014	15592819	TMEM27	NM_020665	ENST00000380342	CCDS14170.1	-	669	6	XAR	Stratum 3	pseudogene
15678067	15710708	CA5B	NM_007220	ENST00000318636	CCDS14171.1	+	954	7	XAR	Stratum 3	lostY
15718539	15751286	ZRSR2	NM_005089	ENST00000307771	CCDS14172.1	+	1449	11	XAR	Stratum 3	pseudogene
15755368	15780568	AP1S2	NM_003916	ENST00000329235	CCDS14173.1	-	474	4	XAR	Stratum 3	lostY
16051997	16080689	GRPR	NM_005314	ENST00000380289	CCDS14174.1	+	1155	3	XAR	Stratum 3	lostY
16518836	16630946	CTPS2	NM_175859	"ENST00000380241,ENST00000359276"	CCDS14175.1	-	1761	17	XAR	Stratum 3	lostY
16579050	16582553	S100G	NM_004057	ENST00000380200	CCDS14176.1	+	240	2	XAR	Stratum 3	lostY
16647768	16688403	SYAP1	NM_032796	ENST00000380155	CCDS14177.1	+	1059	9	XAR	Stratum 3	pseudogene
16714531	16769810	CXorf15	NM_018360	ENST00000380122	CCDS14178.1	+	1587	10	XAR	Stratum 3	gene
16773078	16797685	RBBP7	NM_002893	ENST00000330735	CCDS14179.1	-	1278	12	XAR	Stratum 3	pseudogene
16874905	17075525	REPS2	NM_004726	ENST00000357277	CCDS14180.2	+	1983	18	XAR	Stratum 3	pseudogene
17303801	17660505	NHS	NM_198270	ENST00000380060	CCDS14181.1	+	4893	8	XAR	Stratum 3	pseudogene
17672227	17681433	SCML1	NM_001037540	ENST00000380041	CCDS35210.1	+	990	7	XAR	Stratum 3	lostY
17728458	17730051	RAI2	NM_021785	"ENST00000360011,ENST00000331511"	CCDS14183.1	-	1593	1	XAR	Stratum 3	pseudogene
18093049	18148791	BEND2	NM_153346	ENST00000380033	CCDS14184.1	-	2400	14	XAR	Stratum 3	pseudogene
18169291	18262112	SCML2	NM_006089	"ENST00000398048,ENST00000251900"	CCDS14185.1	-	2103	14	XAR	Stratum 3	pseudogene
18435137	18581585	CDKL5	NM_003159	"ENST00000379996,ENST00000379989"	CCDS14186.1	+	3093	20	XAR	Stratum 3	pseudogene
18570044	18600109	RS1	NM_000330	ENST00000379984	CCDS14187.1	-	675	6	XAR	Stratum 3	lostY
18635820	18755526	PPEF1	NM_006240	"ENST00000379962,ENST00000361511"	CCDS14188.1	+	1962	16	XAR	Stratum 3	lostY
18821523	18846750	PHKA2	NM_000292	ENST00000379942	CCDS14190.1	-	3708	33	XAR	Stratum 3	lostY
18918902	18996873	GPR64	NM_001079858	ENST00000379869	CCDS43923.1	-	3054	27	XAR	Stratum 3	lostY
19272076	19287692	PDHA1	NM_000284	ENST00000355808	CCDS14192.1	+	1173	11	XAR	Stratum 3	lostY
19288787	19299479	MAP3K15	NM_001001671	ENST00000389349	CCDS35212.1	-	3942	20	XAR	Stratum 3	pseudogene
19464455	19815349	SH3KBP1	NM_031892	ENST00000379726	CCDS14193.1	-	1998	18	XAR	Stratum 3	lostY
19845343	19894579	CXorf23	NM_198279	ENST00000379687	CCDS14194.2	-	2049	11	XAR	Stratum 3	lostY
19938841	19984815	MAP7D2	NM_152780	ENST00000379651	CCDS14195.1	-	2199	15	XAR	Stratum 3	lostY
20056344	20069679	EIF1AX	NM_001412	ENST00000379607	CCDS14196.1	-	435	7	XAR	Stratum 3	gene
20083436	20194671	RPS6KA3	NM_004586	ENST00000379565	CCDS14197.1	-	2223	22	XAR	Stratum 3	pseudogene
21302936	21569576	CNKSR2	NM_014927	ENST00000379510	CCDS14198.1	+	3105	22	XAR	Stratum 3	pseudogene
21583892	21585827	KLHL34	NM_153270	ENST00000379499	CCDS14199.1	-	1935	1	XAR	Stratum 3	lostY
21665601	21682329	SMPX	NM_014332	ENST00000379494	CCDS14200.1	-	267	3	XAR	Stratum 3	pseudogene
21767773	21785627	YY2	NM_206923	ENST00000361929	CCDS14202.1	+	1119	1	XAR	Stratum 3	lostY
21767773	21797740	MBTPS2	NM_015884	ENST00000379484	CCDS14201.1	+	1560	11	XAR	Stratum 3	lostY
21868863	21922390	SMS	NM_004595	ENST00000265782	CCDS14203.1	+	1101	11	XAR	Stratum 3	lostY
21961044	22175991	PHEX	NM_000444	ENST00000379374	CCDS14204.1	+	2250	22	XAR	Stratum 3	pseudogene
22201029	22202307	ZNF645	NM_152577	ENST00000323684	CCDS14205.1	+	1278	1	XAR	Stratum 3	pseudogene
22928095	22929991	DDX53	NM_182699	ENST00000327968	CCDS35214.1	+	1896	1	XAR	Stratum 3	pseudogene
23262913	23308363	PTCHD1	NM_173495	ENST00000379361	CCDS35215.2	+	2667	3	XAR	Stratum 3	pseudogene
23595608	23614373	PRDX4	NM_006406	ENST00000379341	CCDS14206.1	+	816	7	XAR	Stratum 3	lostY
23631931	23671182	ACOT9	NM_001037171	ENST00000379303	CCDS43924.1	-	1347	16	XAR	Stratum 3	lostY
23711389	23712082	SAT1	NM_002970	ENST00000379270	CCDS14207.1	+	516	6	XAR	Stratum 3	lostY
23768379	23835740	APOO	NM_024122	ENST00000379226	CCDS14208.1	-	597	8	XAR	Stratum 3	pseudogene
23838340	23867341	CXorf58	NM_152761	ENST00000379211	CCDS14209.1	+	999	8	XAR	Stratum 3	lostY
23915958	23916354	KLHL15	NM_030624	ENST00000328046	CCDS35217.1	-	1815	2	XAR	Stratum 3	pseudogene
23983006	24004823	EIF2S3	NM_001415	ENST00000253039	CCDS14210.1	+	1419	12	XAR	Stratum 3	pseudogene
24100780	24136407	ZFX	NM_003410	"ENST00000379188,ENST00000379177,ENST00000304543"	CCDS14211.1	+	2418	7	XAR	Stratum 3	gene
24393493	24462110	PDK3	NM_005391	ENST00000379162	CCDS14212.1	+	1221	11	XAR	Stratum 3	pseudogene
24490330	24575143	PCYT1B	NM_004845	ENST00000379144	CCDS14213.1	-	1110	8	XAR	Stratum 3	lostY
24621999	24923988	POLA1	NM_016937	ENST00000379059	CCDS14214.1	+	4389	37	XAR	Stratum 3	pseudogene
24932707	24943775	ARX	NM_139058	ENST00000379044	CCDS14215.1	-	1689	5	XAR	Stratum 3	lostY
26067023	26068055	MAGEB18	NM_173699	ENST00000325250	CCDS14216.1	+	1032	1	XAR	Stratum 3	lostY
26121884	26123108	MAGEB6	NM_173523	"ENST00000397565,ENST00000379034"	CCDS14217.1	+	1224	1	XAR	Stratum 3	pseudogene
27749344	27750388	MAGEB10	NM_182506	ENST00000356790	CCDS35221.1	+	1044	1	XAR	Stratum 3	pseudogene
27907569	27909372	WDR42B	NM_001017930	ENST00000329763	CCDS35222.1	-	1140	1	XAR	Stratum 3	notAnc_addXY
28717381	29883858	IL1RAPL1	NM_014271	"ENST00000378993,ENST00000302196"	CCDS14218.1	+	2091	10	XAR	Stratum 3	lostY
30146618	30147578	MAGEB2	NM_002364	ENST00000378988	CCDS14219.1	+	960	1	XAR	Stratum 3	lostY
30163962	30165003	MAGEB3	NM_002365	"ENST00000378986,ENST00000361644"	CCDS14220.1	+	1041	1	XAR	Stratum 3	lostY
30170173	30171214	MAGEB4	NM_002367	ENST00000378982	CCDS14221.1	+	1041	1	XAR	Stratum 3	lostY
30178531	30179575	MAGEB1	NM_177415	"ENST00000397550,ENST00000397548,ENST00000378981"	CCDS14222.1	+	1044	1	XAR	Stratum 3	lostY
30232616	30237401	NR0B1	NM_000475	ENST00000378970	CCDS14223.1	-	1413	2	XAR	Stratum 3	pseudogene
30487487	30488393	CXorf21	NM_025159	ENST00000378962	CCDS14224.1	-	906	1	XAR	Stratum 3	lostY
30581575	30656780	GK	NM_203391	ENST00000378946	CCDS14225.1	+	1593	20	XAR	Stratum 3	lostY
30759464	30787626	MAP3K7IP3	NM_152787	"ENST00000378933,ENST00000378930,ENST00000288422"	CCDS14226.1	-	2139	7	XAR	Stratum 3	pseudogene
30999439	30999991	FTHL17	NM_031894	ENST00000359202	CCDS14227.1	-	552	1	XAR	Stratum 3	lostY
31049956	33139350	DMD	NM_004006	ENST00000357033	CCDS14233.1	-	11058	79	XAR	Stratum 3	pseudogene
34057940	34060316	FAM47A	NM_203408	ENST00000346193	CCDS43926.1	-	2376	1	XAR	Stratum 3	notAnc_addXY
34558350	34585067	TMEM47	NM_031442	ENST00000275954	CCDS14235.1	-	546	3	XAR	Stratum 3	lostY
34870869	34872807	FAM47B	NM_152631	ENST00000329357	CCDS14236.1	+	1833	1	XAR	Stratum 3	notAnc_addXY
35730234	35731209	MAGEB16	NM_001099921	"ENST00000399989,ENST00000399988,ENST00000399987,ENST00000399985"	CCDS43927.1	+	975	1	XAR	Stratum 3	pseudogene
35847837	35917574	CXorf22	NM_152632	ENST00000297866	CCDS14237.2	+	2931	16	XAR	Stratum 3	lostY
35993738	36072847	CXorf59	NM_173695	"ENST00000378660,ENST00000313548"	CCDS14238.1	+	1509	10	XAR	Stratum 3	pseudogene
36936404	36939512	FAM47C	NM_001013736	ENST00000358047	CCDS35227.1	+	1059	1	XAR	Stratum 3	notAnc_addXY
37150423	37197795	PRRG1	NM_000950	ENST00000378628	CCDS14239.1	+	657	3	XAR	Stratum 3	lostY
37316042	37412603	LANCL3	NM_198511	ENST00000378621	CCDS14240.1	+	1167	5	XAR	Stratum 3	pseudogene
37430133	37472654	XK	NM_021083	ENST00000378616	CCDS14241.1	+	1335	3	XAR	Stratum 3	pseudogene
37524274	37555114	CYBB	NM_000397	ENST00000378588	CCDS14242.1	+	1713	13	XAR	Stratum 3	pseudogene
37584771	37591707	DYNLT3	NM_006520	ENST00000378578	CCDS14243.1	-	351	5	XAR	Stratum 3	lostY
37735036	37735390	CXorf27	NM_012274	ENST00000341016	CCDS43929.1	+	354	1	XAR	Stratum 3	lostY
37778086	37870927	SYTL5	NM_138780	"ENST00000357972,ENST00000297875"	CCDS14244.1	+	2193	16	XAR	Stratum 3	pseudogene
37893907	37964989	SRPX	NM_006307	ENST00000378533	CCDS14245.1	-	1395	10	XAR	Stratum 3	lostY
38013822	38071564	RPGR	NM_000328	ENST00000318842	CCDS14246.1	-	2448	19	XAR	Stratum 3	lostY
38096893	38165279	OTC	NM_000531	ENST00000039007	CCDS14247.1	+	1065	10	XAR	Stratum 3	lostY
38305743	38431865	TSPAN7	NM_004615	ENST00000286824	CCDS14248.1	+	750	7	XAR	Stratum 3	lostY
38549143	38549695	MID1IP1	NM_021242	"ENST00000378474,ENST00000336949"	CCDS14249.1	+	552	1	XAR	Stratum 3	lostY
39796305	39822126	BCOR	NM_017745	"ENST00000397354,ENST00000378455"	CCDS14250.1	-	5166	14	XAR	Stratum 3	pseudogene
40325261	40349951	ATP6AP2	NM_005765	ENST00000378438	CCDS14252.1	+	1053	9	XAR	Stratum 3	pseudogene
40374810	40391716	CXorf38	NM_144970	ENST00000327877	CCDS14253.1	-	960	6	XAR	Stratum 3	lostY
40396001	40479608	MED14	NM_004229	ENST00000324817	CCDS14254.1	-	4365	31	XAR	Stratum 3	pseudogene
40867825	40976721	USP9X	NM_001039590	ENST00000324545	CCDS43930.1	+	7713	44	XAR	Stratum 3	gene
41078449	41088729	DDX3X	NM_001356	ENST00000399959	CCDS43931.1	+	1989	17	XAR	Stratum 3	gene
41192086	41219096	NYX	NM_022567	"ENST00000378220,ENST00000342595"	CCDS14256.1	+	1446	2	XAR	Stratum 3	pseudogene
41264616	41409626	CASK	NM_003688	ENST00000378166	CCDS14257.1	-	2766	27	XAR	Stratum 3	pseudogene
41439830	41440976	GPR34	NM_005300	"ENST00000378142,ENST00000378138"	CCDS14258.1	+	1146	1	XAR	Stratum 3	pseudogene
41471223	41472234	GPR82	NM_080817	ENST00000302548	CCDS14259.1	+	1011	1	XAR	Stratum 3	lostY
43400533	43488704	MAOA	NM_000240	ENST00000338702	CCDS14260.1	+	1584	15	XAR	Stratum 3	lostY
43511656	43626489	MAOB	NM_000898	ENST00000397257	CCDS14261.1	-	1563	15	XAR	Stratum 3	pseudogene
43693988	43702835	NDP	NM_000266	ENST00000378062	CCDS14262.1	-	402	2	XAR	Stratum 3	lostY
44268387	44287022	FUNDC1	NM_173794	ENST00000378045	CCDS14263.1	-	468	5	XAR	Stratum 3	pseudogene
44588322	44588895	DUSP21	NM_022076	ENST00000339042	CCDS14264.1	+	573	1	XAR	Stratum 3	lostY
44617741	44855600	UTX	NM_021140	ENST00000377967	CCDS14265.1	+	4206	29	XAR	Stratum 3	gene
44908387	44945015	CXorf36	NM_024689	ENST00000377934	CCDS14266.1	-	549	3	XAR	Stratum 3	lostY
46194839	46217391	ZNF673	NM_017776	ENST00000298190	CCDS14267.1	+	501	4	XAR	Stratum 3	pseudogene
46318310	46319771	CHST7	NM_019886	ENST00000276055	CCDS14268.1	+	1461	1	XAR	Stratum 3	pseudogene
46351330	46503408	SLC9A7	NM_032591	ENST00000328306	CCDS14269.1	-	2178	17	XAR	Stratum 3	lostY
46581479	46624148	RP2	NM_006915	ENST00000218340	CCDS14270.1	+	1053	5	XAR	Stratum 3	lostY
46729239	46803423	PHF16	NM_014735	"ENST00000397189,ENST00000218343"	CCDS14271.1	+	2472	10	XAR	Stratum 3	lostY
46825487	46837290	RGN	NM_152869	"ENST00000397180,ENST00000352078,ENST00000336169"	CCDS14272.1	+	900	6	XAR	Stratum 3	pseudogene
46886659	46889022	NDUFB11	NM_019056	ENST00000276062	CCDS14273.1	-	492	3	XCR	Stratum 2	lostY
46891824	46930942	RBM10	NM_005676	ENST00000377604	CCDS14274.1	+	2793	23	XCR	Stratum 2	lostY
46943145	46959272	UBA1	NM_153280	"ENST00000377351,ENST00000335972"	CCDS14275.1	+	3177	25	XCR	Stratum 2	lostY
46967900	46973111	PCTK1	NM_033018	"ENST00000357227,ENST00000276052"	CCDS14276.1	+	1509	15	XCR	Stratum 2	pseudogene
46977257	46992273	USP11	NM_004651	ENST00000218348	CCDS14277.1	+	2892	21	XCR	Stratum 2	pseudogene
47115011	47157937	ZNF157	NM_003446	ENST00000377073	CCDS14278.1	+	1521	4	XCR	Stratum 2	lostY
47191772	47211824	ZNF41	NM_153380	"ENST00000377065,ENST00000313116"	CCDS14279.1	-	2340	4	XCR	Stratum 2	pseudogene
47307310	47315800	ARAF	NM_001654	ENST00000377045	CCDS35232.1	+	1821	15	XCR	Stratum 2	lostY
47317206	47364071	SYN1	NM_006950	ENST00000295987	CCDS14280.1	-	2118	13	XCR	Stratum 2	pseudogene
47327758	47331034	TIMP1	NM_003254	ENST00000218388	CCDS14281.1	+	624	5	XCR	Stratum 2	lostY
47368617	47374187	CFP	NM_002621	"ENST00000396992,ENST00000247153"	CCDS14282.1	-	1410	9	XCR	Stratum 2	lostY
47381171	47385784	ELK1	NM_005229	"ENST00000376983,ENST00000247161"	CCDS14283.1	-	1287	5	XCR	Stratum 2	lostY
47396184	47403306	UXT	NM_153477	ENST00000335890	CCDS14284.1	-	510	6	XCR	Stratum 2	lostY
47590610	47660975	ZNF81	NM_007137	"ENST00000376954,ENST00000338637"	CCDS43933.1	+	1986	4	XCR	Stratum 2	pseudogene
47720509	47746952	ZNF182	NM_001007088	ENST00000376943	CCDS35235.1	-	1863	4	XCR	Stratum 2	lostY
47752144	47753986	SPACA5	NM_205856	"ENST00000376940,ENST00000304355"	CCDS14286.1	+	480	4	XCR	Stratum 2	notAnc_addX
47802800	47811218	ZNF630	NM_001037735	ENST00000276054	CCDS35237.1	-	1974	1	XCR	Stratum 2	pseudogene
47854307	47863960	SSX6	NM_173357	"ENST00000376932,ENST00000319275"	CCDS14287.1	+	711	6	XCR	Stratum 2	notAnc_addX
47875013	47876855	SPACA5B	NM_001079900	ENST00000304270	CCDS35238.1	+	480	4	XCR	Stratum 2	lostY
47932010	47939738	SSX5	NM_021015	ENST00000311798	CCDS14288.1	-	690	7	XCR	Stratum 2	notAnc_addX
48001620	48010766	SSX1	NM_005635	ENST00000376919	CCDS14290.1	+	567	6	XCR	Stratum 2	notAnc_addX
48093919	48099628	SSX3	NM_175711	"ENST00000376893,ENST00000343603"	CCDS35239.1	-	513	6	XCR	Stratum 2	lostY
48128438	48137168	SSX4	NM_175729	ENST00000375517	CCDS43934.1	+	462	6	XCR	Stratum 2	lostY
48147841	48155758	SSX4B	NM_001034832	ENST00000376884	CCDS35241.1	-	567	6	XCR	Stratum 2	notAnc_addX
48202262	48210384	SLC38A5	NM_033518	ENST00000376876	CCDS14293.1	-	1419	15	XCR	Stratum 2	lostY
48221379	48226183	FTSJ1	NM_177439	"ENST00000396894,ENST00000019019"	CCDS14295.1	+	984	11	XCR	Stratum 2	pseudogene
48253152	48263808	PORCN	NM_203475	ENST00000326194	CCDS14299.1	+	1386	14	XCR	Stratum 2	lostY
48267103	48271789	EBP	NM_006579	ENST00000276096	CCDS14300.1	+	693	4	XCR	Stratum 2	lostY
48283129	48304307	TBC1D25	NM_002536	ENST00000376771	CCDS35242.1	+	2067	6	XCR	Stratum 2	pseudogene
48318512	48320418	RBM3	NM_006743	"ENST00000376759,ENST00000376755"	CCDS14301.1	+	474	5	XCR	Stratum 2	lostY
48342768	48345295	WDR13	NM_017883	"ENST00000376729,ENST00000218056"	CCDS14302.1	+	1458	9	XCR	Stratum 2	lostY
48427186	48434497	WAS	NM_000377	ENST00000376701	CCDS14303.1	+	1509	12	XCR	Stratum 2	pseudogene
48440119	48450905	SUV39H1	NM_003173	ENST00000376687	CCDS14304.1	+	1239	6	XCR	Stratum 2	lostY
48534460	48537515	GATA1	NM_002049	ENST00000376670	CCDS14305.1	+	1242	5	XCR	Stratum 2	pseudogene
48546043	48567966	HDAC6	NM_006044	ENST00000334136	CCDS14306.1	+	3648	28	XCR	Stratum 2	lostY
48572477	48573179	ERAS	NM_181532	ENST00000338270	CCDS35246.1	+	702	1	XCR	Stratum 2	lostY
48574613	48578878	PCSK1N	NM_013271	ENST00000218230	CCDS14307.1	-	783	3	XCR	Stratum 2	lostY
48635955	48639976	TIMM17B	NM_005834	"ENST00000396779,ENST00000376582"	CCDS14308.1	-	519	6	XCR	Stratum 2	lostY
48640736	48645305	PQBP1	NM_005710	"ENST00000396764,ENST00000396763,ENST00000376563,ENST00000218224"	CCDS14309.1	+	798	6	XCR	Stratum 2	pseudogene
48645658	48653857	SLC35A2	NM_005660	ENST00000247138	CCDS14311.1	-	1191	5	XCR	Stratum 2	pseudogene
48656351	48661055	PIM2	NM_006875	ENST00000376509	CCDS14312.1	-	936	6	XCR	Stratum 2	lostY
48665394	48699776	OTUD5	NM_017602	ENST00000156084	CCDS14313.1	-	1716	9	XCR	Stratum 2	lostY
48704785	48708447	KCND1	NM_004979	ENST00000218176	CCDS14314.1	-	1944	6	XCR	Stratum 2	pseudogene
48715548	48743584	GRIPAP1	NM_020137	ENST00000376441	CCDS35248.1	-	2526	26	XCR	Stratum 2	pseudogene
48774612	48787696	TFE3	NM_006521	ENST00000315869	CCDS14315.2	-	1728	10	XCR	Stratum 2	lostY
48806751	48812592	CCDC120	NM_033626	ENST00000376396	CCDS14316.1	+	1893	8	XCR	Stratum 2	pseudogene
48816471	48818590	PRAF2	NM_007213	ENST00000376390	CCDS14317.1	-	537	3	XCR	Stratum 2	lostY
48819405	48822330	WDR45	NM_001029896	ENST00000376372	CCDS35250.1	-	1083	10	XCR	Stratum 2	lostY
48857502	48867016	GPKOW	NM_015698	ENST00000156109	CCDS35251.1	-	1431	11	XCR	Stratum 2	lostY
48915291	48917987	PLP2	NM_002668	ENST00000376327	CCDS14319.1	+	459	5	XCR	Stratum 2	lostY
48918965	48929694	PRICKLE3	NM_006150	ENST00000376317	CCDS14320.1	-	1848	9	XCR	Stratum 2	lostY
48934837	48943589	SYP	NM_003179	ENST00000263233	CCDS14321.1	-	942	6	XCR	Stratum 2	lostY
48948540	48976715	CACNA1F	NM_005183	ENST00000376265	CCDS35253.1	-	5934	48	XCR	Stratum 2	pseudogene
